Fruit,Key Nutrients,Health Benefits,Organs Benefited
Apple,"Fiber (2.4g), Vitamin C (8.4mg), Potassium (195mg)","Aids digestion, regulates blood sugar","Heart, Gut"
Banana,"Potassium (358mg), Vitamin B6 (0.4mg), Fiber (2.6g)","Boosts energy, aids digestion, prevents cramps","Brain, Muscles, Heart"
Orange,"Vitamin C (53.2mg), Fiber (2.4g), Folate (30µg)","Strengthens immunity, improves iron absorption","Immune System, Skin"
Mango,"Vitamin A (54µg), Vitamin C (36.4mg), Fiber (1.6g)","Enhances eye health, supports digestion","Eyes, Gut"
Grapes,"Resveratrol, Vitamin C (3.2mg), Potassium (191mg)","Improves heart health, reduces inflammation","Heart, Brain"
Watermelon,"Water (91%), Lycopene (4.5mg), Vitamin C (8.1mg)","Hydrates body, supports heart health","Heart, Kidneys, Skin"
Pineapple,"Vitamin C (47.8mg), Bromelain, Manganese (0.93mg)","Aids digestion, reduces inflammation","Gut, Immune System"
Pomegranate,"Antioxidants, Vitamin C (10.2mg), Fiber (4g)","Improves heart health, fights inflammation","Heart, Immune System"
Strawberry,"Vitamin C (58.8mg), Fiber (2g), Antioxidants","Supports skin health, regulates blood sugar","Skin, Immune System"
Papaya,"Vitamin A (47µg), Papain, Vitamin C (60.9mg)","Aids digestion, supports eye health","Eyes, Gut"
Avocado,"Healthy Fats (15g), Fiber (6.7g), Vitamin E (2.07mg)","Good for heart health, improves skin","Heart, Brain, Skin"
Kiwi,"Vitamin C (92.7mg), Vitamin K (40.3µg), Fiber (3g)","Strengthens immunity, supports digestion","Immune System, Gut, Brain"
Blueberry,"Antioxidants, Vitamin C (9.7mg), Fiber (2.4g)","Boosts brain health, improves heart function","Brain, Heart, Skin"
Raspberry,"Fiber (6.5g), Vitamin C (26.2mg), Manganese (0.67mg)","Aids digestion, supports weight loss","Gut, Heart"
Blackberry,"Vitamin C (21mg), Fiber (5.3g), Antioxidants","Supports immune function, promotes brain health","Brain, Immune System, Eyes"
Pear,"Fiber (3.1g), Vitamin C (4.3mg), Copper (0.082mg)","Aids digestion, supports gut health","Gut, Immune System"
Guava,"Vitamin C (228.3mg), Fiber (5.4g), Potassium (417mg)","Strengthens immunity, regulates blood pressure","Immune System, Heart, Gut"
